"Que signifie l'acronyme EBIOS ?","Expression des Besoins et Identification des Objectifs de Sécurité"
"Quel organisme est à l'origine de la méthode EBIOS et en quelle année ?","La DCSSI (devenue l'ANSSI), en 1995 ; la méthode a été révisée en 2010"
"Quel décret a créé l'ANSSI ?","Le décret n° 2009-834 du 7 juillet 2009"
"Quel événement de novembre 1988 a marqué la prise de conscience de la sécurité des SI ?","Le ver Internet (ver de Morris), qui a paralysé une grande partie du réseau et provoqué la création du premier CERT"
"Que signifie CERT et quel a été le premier ?","Computer Emergency Response Team ; le CERT/CC, créé à l'université Carnegie Mellon et financé par la DARPA"
"Quel est le CERT gouvernemental français, quand a-t-il été créé et inauguré ?","Le CERTA, créé en 1999 et inauguré le 21 février 2000 (rattaché à l'ANSSI)"
"Qu'est-ce que le FIRST ?","Forum of Incident Response and Security Teams, créé en 1990, qui fédère les CERT du monde entier"
"Depuis quand le Club EBIOS existe-t-il et quel est son rôle ?","Depuis 2003 ; il réunit experts et utilisateurs pour faire vivre et enrichir la méthode EBIOS"
"Citez trois méthodes d'analyse de risques SSI et leur origine.","EBIOS (ANSSI, France), MEHARI (CLUSIF, France), OCTAVE (Carnegie Mellon, États-Unis)"
"Que signifie MEHARI ?","MEthode Harmonisée d'Analyse de RIsques, publiée par le CLUSIF"
"Que signifie OCTAVE et combien de phases comporte la méthode ?","Operationally Critical Threat, Asset and Vulnerability Evaluation ; trois phases"
"Quelle norme ISO définit le vocabulaire de la gestion des risques ?","Le Guide ISO 73 (repris dans l'ISO 31000)"
"À quoi correspondent les normes ISO 27001, 27002 et 27005 ?","27001 : exigences d'un SMSI ; 27002 : bonnes pratiques / mesures de sécurité ; 27005 : gestion des risques de sécurité de l'information"
"Quels sont les trois critères de sécurité retenus par EBIOS ?","Disponibilité, Intégrité, Confidentialité (D, I, C)"
"Quelle est la différence entre un bien essentiel et un bien support ?","Le bien essentiel est une information ou un processus important pour l'organisme (on apprécie ses besoins de sécurité, pas ses vulnérabilités) ; le bien support est l'élément technique ou humain sur lequel il repose (on étudie ses vulnérabilités)"
"Qui sont le dépositaire et le propriétaire d'un bien dans EBIOS ?","Le dépositaire est responsable d'un bien essentiel ; le propriétaire est responsable d'un bien support"
"De quels éléments un événement redouté est-il composé ?","Un bien essentiel et son besoin de sécurité, le ou les impacts en cas de non-respect, et la ou les sources de menaces à l'origine ; il est estimé par un niveau de gravité"
"De quels éléments un scénario de menace est-il composé ?","Une menace, une ou des vulnérabilités de biens supports, et une ou des sources de menaces ; il est estimé par un niveau de vraisemblance"
"Comment EBIOS définit-elle un risque ?","La combinaison d'un événement redouté et d'un ou plusieurs scénarios de menaces qui peuvent le provoquer ; il est caractérisé par sa gravité et sa vraisemblance"
"Quels sont les niveaux de l'échelle de gravité d'EBIOS ?","Négligeable, Limitée, Importante, Critique"
"Quels sont les niveaux de l'échelle de vraisemblance d'EBIOS ?","Minime, Significative, Forte, Maximale"
"Quelles sont les quatre options de traitement d'un risque ?","Le réduire, le transférer (ou partager), l'éviter (ou refuser), le prendre (ou maintenir)"
"Quelle est la différence entre risque brut et risque net dans EBIOS ?","Le risque brut est estimé sans tenir compte des mesures de sécurité existantes ; le risque net les prend en compte"
"Qu'est-ce qu'un risque résiduel ?","Le risque qui subsiste une fois les objectifs de sécurité atteints et les mesures de sécurité mises en œuvre ; il doit être accepté en connaissance de cause"
"Quels sont les cinq modules de la démarche EBIOS ?","Module 1 : étude du contexte ; Module 2 : étude des événements redoutés ; Module 3 : étude des scénarios de menaces ; Module 4 : étude des risques ; Module 5 : étude des mesures de sécurité"
"Que produit le module 1 d'EBIOS ?","La délimitation du périmètre, l'identification des biens essentiels et des biens supports, les paramètres à prendre en compte (métriques, sources de menaces, critères de gestion des risques)"
"Dans quel module d'EBIOS estime-t-on la gravité, et dans quel module la vraisemblance ?","La gravité dans le module 2 (événements redoutés), la vraisemblance dans le module 3 (scénarios de menaces)"
"Quelles sont les deux activités du module 4 d'EBIOS ?","Apprécier les risques (analyser et évaluer) et identifier les objectifs de sécurité (choisir les options de traitement, analyser les risques résiduels)"
"Quelles sont les trois lignes de défense de la défense en profondeur selon EBIOS ?","Une ligne préventive (éviter l'apparition des incidents), une ligne protectrice (bloquer, contenir, détecter) et une ligne récupératrice (minimiser les conséquences et revenir à l'état initial)"
"Citez trois des six principes de la défense en profondeur.","Globalité, coordination, dynamisme, suffisance, complétude, démonstration"
"Qu'est-ce qu'une déclaration d'applicabilité (SoA) dans le module 5 ?","Un document qui explique comment les références applicables, contraintes et hypothèses ont été prises en compte, et qui justifie les mesures retenues ou écartées"
"Qu'est-ce que l'homologation de sécurité ?","L'engagement par lequel une autorité atteste que le SI est protégé conformément aux objectifs de sécurité et apte à entrer en service avec des risques résiduels acceptés et maîtrisés"
"Quelles décisions une autorité d'homologation peut-elle prononcer ?","Une homologation complète (souvent 3 à 5 ans, éventuellement sous conditions), une homologation provisoire avec réserves et délai de mise en conformité, ou un refus d'homologation"
"Que signifie FEROS et à quoi sert ce document ?","Fiche d'Expression Rationnelle des Objectifs de Sécurité (Guide 150) ; document synthétique de sécurité opérationnelle servant notamment à l'homologation d'un SI"
"Que sont un profil de protection (PP) et une cible de sécurité au sens de l'ISO 15408 ?","Des livrables des Critères Communs : le PP exprime des exigences de sécurité génériques pour une catégorie de produits, la cible de sécurité les exprime pour un produit précis"
"Quel matrice de répartition des rôles est mobilisée dans une étude EBIOS ?","La matrice RACI (Responsible, Accountable, Consulted, Informed)"
"Quelles sont les trois catégories de mode d'exploitation de sécurité d'un SI ?","Exclusif, Dominant et Multi-niveaux"
"EBIOS est-elle compatible avec l'ISO 27001 ?","Oui : EBIOS permet de satisfaire l'ensemble des exigences de gestion des risques de l'ISO 27001 et de l'ISO 31000, avec un vocabulaire aligné sur le Guide ISO 73"
"Pourquoi qualifie-t-on EBIOS de « boîte à outils » ?","Parce que ses activités, leur niveau de détail et leur enchaînement sont adaptables au sujet étudié, aux livrables attendus, à la phase du cycle de vie et au secteur d'activité"
"Quel avantage la construction méthodique d'EBIOS offre-t-elle par rapport aux méthodes par catalogue de scénarios ?","Elle identifie et combine les éléments constitutifs des risques, ce qui garantit l'exhaustivité de l'analyse au lieu de se limiter à des scénarios prédéfinis"
